,Date,Persian_Date,Open,Low,High,Close
33,2023/06/25,1402/04/04,"501,560","497,410","502,200","499,400"
34,2023/06/24,1402/04/03,"500,370","497,500","508,680","508,610"
35,2023/06/22,1402/04/01,"495,600","494,100","497,400","497,130"
36,2023/06/21,1402/03/31,"486,680","485,600","488,900","485,730"
37,2023/06/20,1402/03/30,"486,170","485,120","490,400","489,390"
38,2023/06/19,1402/03/29,"489,640","485,300","489,800","486,840"
39,2023/06/18,1402/03/28,"495,770","491,750","495,900","491,980"
40,2023/06/17,1402/03/27,"494,370","491,600","499,400","493,180"
41,2023/06/15,1402/03/25,"486,260","486,100","488,400","488,100"
42,2023/06/14,1402/03/24,"493,090","484,600","498,900","488,550"
43,2023/06/13,1402/03/23,"484,350","484,100","499,900","498,810"
44,2023/06/12,1402/03/22,"473,160","470,600","482,900","481,750"
45,2023/06/11,1402/03/21,"490,200","468,610","491,900","469,830"
46,2023/06/10,1402/03/20,"494,080","492,700","496,100","493,390"
47,2023/06/08,1402/03/18,"496,540","489,300","496,600","490,840"
48,2023/06/07,1402/03/17,"506,540","494,110","506,540","494,390"
49,2023/06/06,1402/03/16,"508,870","507,300","517,900","507,990"
50,2023/06/03,1402/03/13,"509,320","506,300","510,230","510,230"
51,2023/06/01,1402/03/11,"512,390","508,800","512,400","510,890"
52,2023/05/31,1402/03/10,"508,440","507,300","510,600","508,340"
53,2023/05/30,1402/03/09,"511,900","511,800","514,600","512,520"
54,2023/05/29,1402/03/08,"512,630","511,900","518,100","517,170"
55,2023/05/28,1402/03/07,"517,660","514,900","517,900","515,120"
56,2023/05/27,1402/03/06,"516,290","516,100","527,800","517,850"
57,2023/05/25,1402/03/04,"512,530","512,300","514,600","514,320"
58,2023/05/24,1402/03/03,"520,610","512,840","521,100","513,060"
59,2023/05/23,1402/03/02,"522,890","519,300","523,600","520,480"
60,2023/05/29,1402/03/08,"512,630","511,900","518,100","517,170"
61,2023/05/28,1402/03/07,"517,660","514,900","517,900","515,120"
62,2023/05/27,1402/03/06,"516,290","516,100","527,800","517,850"
63,2023/05/25,1402/03/04,"512,530","512,300","514,600","514,320"
64,2023/05/24,1402/03/03,"520,610","512,840","521,100","513,060"
65,2023/05/23,1402/03/02,"522,890","519,300","523,600","520,480"
66,2023/05/22,1402/03/01,"521,410","520,800","524,100","521,360"
67,2023/05/21,1402/02/31,"514,600","514,300","521,600","517,480"
68,2023/05/20,1402/02/30,"510,890","508,800","514,600","513,530"
69,2023/05/18,1402/02/28,"511,700","509,500","512,100","510,980"
70,2023/05/17,1402/02/27,"514,100","509,300","514,300","510,850"
71,2023/05/15,1402/02/25,"515,530","514,300","520,600","520,050"
72,2023/05/14,1402/02/24,"524,390","512,800","524,600","514,070"
73,2023/05/13,1402/02/23,"519,080","518,800","522,600","520,900"
74,2023/05/11,1402/02/21,"530,510","528,830","532,100","530,360"
75,2023/05/10,1402/02/20,"532,080","525,300","533,100","529,510"
76,2023/05/09,1402/02/19,"531,850","531,300","536,100","531,840"
77,2023/05/08,1402/02/18,"525,540","525,300","534,100","534,040"
78,2023/05/07,1402/02/17,"526,080","524,300","529,100","525,430"
79,2023/05/06,1402/02/16,"534,060","527,300","535,100","533,370"
80,2023/05/04,1402/02/14,"539,340","536,110","540,100","536,840"
81,2023/05/03,1402/02/13,"531,040","530,800","539,100","535,240"
82,2023/05/02,1402/02/12,"547,300","540,520","547,600","540,520"
83,2023/05/01,1402/02/11,"548,860","548,800","555,600","550,510"
84,2023/04/30,1402/02/10,"538,980","538,800","546,100","545,930"
85,2023/04/29,1402/02/09,"534,320","534,300","545,100","541,830"
86,2023/04/27,1402/02/07,"524,640","524,400","533,600","532,830"
87,2023/04/26,1402/02/06,"516,080","515,800","522,100","522,010"
88,2023/04/25,1402/02/05,"518,410","514,800","518,600","516,020"
89,2023/04/24,1402/02/04,"517,450","512,300","517,600","517,460"
90,2023/04/26,1402/02/06,"516,080","515,800","522,100","522,010"
91,2023/04/25,1402/02/05,"518,410","514,800","518,600","516,020"
92,2023/04/24,1402/02/04,"517,450","512,300","517,600","517,460"
93,2023/04/20,1402/01/31,"517,100","513,800","517,100","514,050"
94,2023/04/19,1402/01/30,"518,560","516,800","519,600","517,030"
95,2023/04/18,1402/01/29,"513,130","509,400","517,600","517,600"
96,2023/04/17,1402/01/28,"511,640","511,300","517,700","513,050"
97,2023/04/16,1402/01/27,"505,060","502,800","513,600","511,440"
98,2023/04/15,1402/01/26,"511,990","506,800","512,060","508,400"
99,2023/04/13,1402/01/24,"509,430","507,510","510,600","508,980"
100,2023/04/11,1402/01/22,"508,870","505,820","513,600","508,020"
101,2023/04/10,1402/01/21,"500,550","495,800","505,600","503,310"
102,2023/04/09,1402/01/20,"507,030","499,800","508,600","499,900"
103,2023/04/08,1402/01/19,"509,580","502,810","511,600","507,830"
104,2023/04/06,1402/01/17,"500,300","498,810","507,100","507,060"
105,2023/04/05,1402/01/16,"508,030","505,320","513,100","507,950"
106,2023/04/04,1402/01/15,"515,070","496,340","515,100","507,800"
107,2023/04/03,1402/01/14,"535,400","506,950","535,600","515,100"
108,2023/03/19,1401/12/28,"538,000","538,000","538,000","538,000"
109,2023/03/18,1401/12/27,"462,380","458,800","465,100","459,880"
110,2023/03/16,1401/12/25,"452,940","448,300","456,600","456,320"
111,2023/03/15,1401/12/24,"461,960","451,820","462,100","460,460"
112,2023/03/14,1401/12/23,"445,300","445,000","459,910","459,910"
113,2023/03/13,1401/12/22,"433,300","433,000","450,300","448,170"
114,2023/03/12,1401/12/21,"433,760","416,000","454,300","432,200"
115,2023/03/11,1401/12/20,"473,440","438,700","473,600","439,200"
116,2023/03/09,1401/12/18,"498,670","485,800","499,100","486,670"
117,2023/03/07,1401/12/16,"483,960","481,300","499,600","491,350"
118,2023/03/06,1401/12/15,"498,000","493,830","503,590","498,890"
119,2023/03/05,1401/12/14,"435,790","435,790","511,000","501,000"
120,2023/03/19,1401/12/28,"538,000","538,000","538,000","538,000"
121,2023/03/18,1401/12/27,"462,380","458,800","465,100","459,880"
122,2023/03/16,1401/12/25,"452,940","448,300","456,600","456,320"
123,2023/03/15,1401/12/24,"461,960","451,820","462,100","460,460"
124,2023/03/14,1401/12/23,"445,300","445,000","459,910","459,910"
125,2023/03/13,1401/12/22,"433,300","433,000","450,300","448,170"
126,2023/03/12,1401/12/21,"433,760","416,000","454,300","432,200"
127,2023/03/11,1401/12/20,"473,440","438,700","473,600","439,200"
128,2023/03/09,1401/12/18,"498,670","485,800","499,100","486,670"
129,2023/03/07,1401/12/16,"483,960","481,300","499,600","491,350"
130,2023/03/06,1401/12/15,"498,000","493,830","503,590","498,890"
131,2023/03/05,1401/12/14,"435,790","435,790","511,000","501,000"
132,2023/03/04,1401/12/13,"448,160","448,160","448,160","525,000"
133,2023/03/02,1401/12/11,"446,470","446,470","446,470","446,470"
134,2023/03/01,1401/12/10,"438,150","438,150","438,150","438,150"
135,2023/02/28,1401/12/09,"433,370","433,370","433,370","433,370"
136,2023/02/27,1401/12/08,"430,920","430,920","430,920","430,920"
137,2023/02/26,1401/12/07,"426,810","426,810","426,810","426,810"
138,2023/02/25,1401/12/06,"417,590","417,590","417,590","417,590"
139,2023/02/23,1401/12/04,"417,000","417,000","417,000","417,000"
140,2023/02/22,1401/12/03,"415,490","415,490","415,490","415,490"
141,2023/02/21,1401/12/02,"451,990","415,480","452,180","415,600"
142,2023/02/20,1401/12/01,"452,070","451,980","452,180","452,020"
143,2023/02/19,1401/11/30,"451,180","451,100","452,180","452,050"
144,2023/02/16,1401/11/27,"450,350","450,100","451,300","451,120"
145,2023/02/15,1401/11/26,"434,290","434,090","450,540","450,180"
146,2023/02/14,1401/11/25,"434,010","434,000","434,390","434,110"
147,2023/02/13,1401/11/24,"434,370","434,100","434,400","434,130"
148,2023/02/12,1401/11/23,"434,100","433,700","434,460","433,820"
149,2023/02/09,1401/11/20,"434,220","434,000","434,440","434,130"
150,2023/02/27,1401/12/08,"430,920","430,920","430,920","430,920"
151,2023/02/26,1401/12/07,"426,810","426,810","426,810","426,810"
152,2023/02/25,1401/12/06,"417,590","417,590","417,590","417,590"
153,2023/02/23,1401/12/04,"417,000","417,000","417,000","417,000"
154,2023/02/22,1401/12/03,"415,490","415,490","415,490","415,490"
155,2023/02/21,1401/12/02,"451,990","415,480","452,180","415,600"
156,2023/02/20,1401/12/01,"452,070","451,980","452,180","452,020"
157,2023/02/19,1401/11/30,"451,180","451,100","452,180","452,050"
158,2023/02/16,1401/11/27,"450,350","450,100","451,300","451,120"
159,2023/02/15,1401/11/26,"434,290","434,090","450,540","450,180"
160,2023/02/14,1401/11/25,"434,010","434,000","434,390","434,110"
161,2023/02/13,1401/11/24,"434,370","434,100","434,400","434,130"
162,2023/02/12,1401/11/23,"434,100","433,700","434,460","433,820"
163,2023/02/09,1401/11/20,"434,220","434,000","434,440","434,130"
164,2023/02/08,1401/11/19,"434,980","434,430","435,030","434,500"
165,2023/02/07,1401/11/18,"435,520","434,730","435,550","435,020"
166,2023/02/06,1401/11/17,"435,750","435,250","435,890","435,370"
167,2023/02/05,1401/11/16,"436,260","435,540","436,360","435,570"
168,2023/02/02,1401/11/13,"436,050","435,810","436,370","436,100"
169,2023/02/01,1401/11/12,"437,070","425,880","438,090","436,440"
170,2023/01/31,1401/11/11,"435,880","433,310","438,900","437,290"
171,2023/01/30,1401/11/10,"439,400","433,810","440,900","436,560"
172,2023/01/29,1401/11/09,"436,480","432,800","439,800","438,810"
173,2023/01/28,1401/11/08,"431,360","419,350","440,100","437,130"
174,2023/01/26,1401/11/06,"419,450","417,300","426,100","424,340"
175,2023/01/25,1401/11/05,"414,310","411,420","425,600","420,640"
176,2023/01/24,1401/11/04,"431,820","419,300","432,600","425,000"
177,2023/01/23,1401/11/03,"433,450","431,800","447,600","432,000"
178,2023/01/22,1401/11/02,"431,590","424,810","444,100","444,320"
179,2023/01/21,1401/11/01,"422,330","422,100","440,400","430,030"
180,2023/01/28,1401/11/08,"431,360","419,350","440,100","437,130"
181,2023/01/26,1401/11/06,"419,450","417,300","426,100","424,340"
182,2023/01/25,1401/11/05,"414,310","411,420","425,600","420,640"
183,2023/01/24,1401/11/04,"431,820","419,300","432,600","425,000"
184,2023/01/23,1401/11/03,"433,450","431,800","447,600","432,000"
185,2023/01/22,1401/11/02,"431,590","424,810","444,100","444,320"
186,2023/01/21,1401/11/01,"422,330","422,100","440,400","430,030"
187,2023/01/19,1401/10/29,"419,240","418,210","422,400","420,030"
188,2023/01/18,1401/10/28,"411,290","411,100","423,600","423,240"
189,2023/01/17,1401/10/27,"406,630","406,170","410,600","410,390"
190,2023/01/16,1401/10/26,"400,850","400,560","402,900","402,850"
191,2023/01/15,1401/10/25,"402,360","400,500","402,800","401,390"
192,2023/01/14,1401/10/24,"402,860","401,300","403,400","402,650"
193,2023/01/12,1401/10/22,"405,080","403,800","406,000","405,140"
194,2023/01/11,1401/10/21,"401,810","400,300","404,900","404,740"
195,2023/01/10,1401/10/20,"402,240","401,100","405,600","402,000"
196,2023/01/09,1401/10/19,"403,480","395,000","404,100","400,410"
197,2023/01/08,1401/10/18,"404,830","400,500","407,370","402,820"
198,2023/01/07,1401/10/17,"396,750","396,020","402,100","401,440"
199,2023/01/05,1401/10/15,"387,530","387,390","395,100","394,830"
200,2023/01/04,1401/10/14,"387,060","386,820","395,100","391,420"
201,2023/01/03,1401/10/13,"387,530","374,520","387,590","397,530"
202,2023/01/02,1401/10/12,"391,440","387,320","391,590","387,590"
203,2023/01/01,1401/10/11,"386,820","379,820","397,090","393,000"
204,2022/12/31,1401/10/10,"406,690","389,000","407,020","389,000"
205,2022/12/29,1401/10/08,"413,630","400,560","417,140","416,150"
206,2022/12/28,1401/10/07,"401,040","397,830","425,060","403,000"
207,2022/12/26,1401/10/05,"395,590","390,090","405,790","397,210"
208,2022/12/25,1401/10/04,"395,670","393,270","399,000","395,650"
209,2022/12/24,1401/10/03,"390,270","389,200","396,810","395,620"
210,2022/12/29,1401/10/08,"413,630","400,560","417,140","416,150"
211,2022/12/28,1401/10/07,"401,040","397,830","425,060","403,000"
212,2022/12/26,1401/10/05,"395,590","390,090","405,790","397,210"
213,2022/12/25,1401/10/04,"395,670","393,270","399,000","395,650"
214,2022/12/24,1401/10/03,"390,270","389,200","396,810","395,620"
215,2022/12/22,1401/10/01,"382,400","382,210","390,500","390,500"
216,2022/12/21,1401/09/30,"384,520","378,000","387,250","384,080"
217,2022/12/20,1401/09/29,"385,020","378,820","388,820","384,670"
218,2022/12/19,1401/09/28,"385,750","382,610","393,500","388,320"
219,2022/12/18,1401/09/27,"388,400","379,010","389,170","385,330"
220,2022/12/17,1401/09/26,"375,770","375,770","389,430","386,910"
221,2022/12/14,1401/09/23,"375,070","369,980","389,370","378,280"
222,2022/12/13,1401/09/22,"374,470","368,100","379,570","374,350"
223,2022/12/12,1401/09/21,"369,010","367,710","375,730","375,600"
224,2022/12/11,1401/09/20,"361,790","361,290","372,000","372,000"
225,2022/12/10,1401/09/19,"357,060","356,840","363,940","361,070"
226,2022/12/08,1401/09/17,"360,440","357,760","361,160","358,620"
227,2022/12/07,1401/09/16,"357,630","355,210","361,400","359,300"
228,2022/12/06,1401/09/15,"360,580","357,730","361,500","358,970"
229,2022/12/05,1401/09/14,"359,520","356,120","362,810","358,500"
230,2022/12/04,1401/09/13,"357,350","356,300","357,500","357,500"
231,2022/12/03,1401/09/12,"354,670","354,020","357,240","357,240"
232,2022/12/01,1401/09/10,"351,970","351,770","356,950","356,950"
233,2022/11/30,1401/09/09,"353,850","352,610","354,500","354,500"
234,2022/11/29,1401/09/08,"356,190","353,780","357,800","354,500"
235,2022/11/28,1401/09/07,"355,960","351,820","360,420","358,120"
236,2022/11/27,1401/09/06,"352,520","351,350","357,250","354,700"
237,2022/11/26,1401/09/05,"350,400","349,030","354,400","352,620"
238,2022/11/24,1401/09/03,"345,230","345,090","352,900","352,900"
239,2022/11/23,1401/09/02,"349,850","347,590","352,130","347,990"
240,2022/11/30,1401/09/09,"353,850","352,610","354,500","354,500"
241,2022/11/29,1401/09/08,"356,190","353,780","357,800","354,500"
242,2022/11/28,1401/09/07,"355,960","351,820","360,420","358,120"
243,2022/11/27,1401/09/06,"352,520","351,350","357,250","354,700"
244,2022/11/26,1401/09/05,"350,400","349,030","354,400","352,620"
245,2022/11/24,1401/09/03,"345,230","345,090","352,900","352,900"
246,2022/11/23,1401/09/02,"349,850","347,590","352,130","347,990"
247,2022/11/22,1401/09/01,"351,410","347,770","353,060","348,800"
248,2022/11/21,1401/08/30,"353,490","350,380","354,950","352,000"
249,2022/11/20,1401/08/29,"348,240","348,160","352,700","351,600"
250,2022/11/19,1401/08/28,"350,400","347,670","352,330","348,170"
251,2022/11/17,1401/08/26,"353,680","344,460","353,680","347,510"
252,2022/11/16,1401/08/25,"355,320","349,580","355,680","351,450"
253,2022/11/15,1401/08/24,"352,080","351,690","356,600","352,450"
254,2022/11/14,1401/08/23,"353,260","352,490","354,820","352,490"
255,2022/11/13,1401/08/22,"349,020","348,650","355,020","353,520"
256,2022/11/12,1401/08/21,"350,780","348,750","351,320","349,410"
257,2022/11/10,1401/08/19,"354,050","348,350","354,120","350,590"
258,2022/11/09,1401/08/18,"353,560","353,560","353,890","353,890"
259,2022/10/31,1401/08/09,"351,820","351,820","351,820","351,820"
260,2022/10/30,1401/08/08,"329,110","328,350","330,020","329,770"
261,2022/10/29,1401/08/07,"330,110","329,150","330,820","329,150"
262,2022/10/27,1401/08/05,"330,220","329,950","330,820","330,520"
263,2022/10/26,1401/08/04,"328,910","327,850","328,920","328,810"
264,2022/10/25,1401/08/03,"328,010","327,750","328,820","328,760"
265,2022/10/24,1401/08/02,"327,160","326,250","328,020","327,720"
266,2022/10/23,1401/08/01,"328,380","327,560","329,020","328,150"
267,2022/10/22,1401/07/30,"326,520","326,450","328,620","327,660"
268,2022/10/20,1401/07/28,"327,190","325,750","327,220","326,550"
269,2022/10/19,1401/07/27,"329,450","327,950","329,520","327,970"
270,2022/10/31,1401/08/09,"351,820","351,820","351,820","351,820"
271,2022/10/30,1401/08/08,"329,110","328,350","330,020","329,770"
272,2022/10/29,1401/08/07,"330,110","329,150","330,820","329,150"
273,2022/10/27,1401/08/05,"330,220","329,950","330,820","330,520"
274,2022/10/26,1401/08/04,"328,910","327,850","328,920","328,810"
275,2022/10/25,1401/08/03,"328,010","327,750","328,820","328,760"
276,2022/10/24,1401/08/02,"327,160","326,250","328,020","327,720"
277,2022/10/23,1401/08/01,"328,380","327,560","329,020","328,150"
278,2022/10/22,1401/07/30,"326,520","326,450","328,620","327,660"
279,2022/10/20,1401/07/28,"327,190","325,750","327,220","326,550"
280,2022/10/19,1401/07/27,"329,450","327,950","329,520","327,970"
281,2022/10/18,1401/07/26,"326,970","326,450","328,520","328,390"
282,2022/10/17,1401/07/25,"329,820","328,350","329,820","328,620"
283,2022/10/16,1401/07/24,"329,170","328,950","331,520","331,210"
284,2022/10/15,1401/07/23,"328,620","327,450","328,620","328,020"
285,2022/10/13,1401/07/21,"326,210","326,150","329,520","329,460"
286,2022/10/12,1401/07/20,"327,020","325,650","327,520","326,510"
287,2022/10/11,1401/07/19,"324,980","324,750","328,120","327,520"
288,2022/10/10,1401/07/18,"323,070","320,850","325,620","324,960"
289,2022/10/09,1401/07/17,"326,110","322,950","326,110","323,020"
290,2022/10/08,1401/07/16,"328,060","325,460","328,110","326,190"
291,2022/10/06,1401/07/14,"327,010","325,950","327,020","326,610"
292,2022/10/04,1401/07/12,"333,180","330,450","333,220","331,020"
293,2022/10/03,1401/07/11,"333,450","330,750","334,520","332,460"
294,2022/10/02,1401/07/10,"327,320","325,750","332,520","331,460"
295,2022/10/01,1401/07/09,"321,480","321,450","331,820","331,170"
296,2022/09/29,1401/07/07,"318,510","318,450","318,520","318,480"
297,2022/09/28,1401/07/06,"317,310","317,150","318,520","318,310"
298,2022/09/26,1401/07/04,"316,020","316,020","317,520","316,810"
299,2022/09/24,1401/07/02,"317,150","316,450","318,810","317,010"
300,2022/10/03,1401/07/11,"333,450","330,750","334,520","332,460"
301,2022/10/02,1401/07/10,"327,320","325,750","332,520","331,460"
302,2022/10/01,1401/07/09,"321,480","321,450","331,820","331,170"
303,2022/09/29,1401/07/07,"318,510","318,450","318,520","318,480"
304,2022/09/28,1401/07/06,"317,310","317,150","318,520","318,310"
305,2022/09/26,1401/07/04,"316,020","316,020","317,520","316,810"
306,2022/09/24,1401/07/02,"317,150","316,450","318,810","317,010"
307,2022/09/22,1401/06/31,"315,950","314,950","317,720","316,660"
308,2022/09/21,1401/06/30,"316,220","315,650","317,220","317,120"
309,2022/09/20,1401/06/29,"317,270","315,450","317,520","316,820"
310,2022/09/19,1401/06/28,"315,250","314,650","316,920","316,520"
311,2022/09/18,1401/06/27,"319,220","315,250","319,520","315,360"
312,2022/09/15,1401/06/24,"316,010","315,450","316,720","315,560"
313,2022/09/14,1401/06/23,"315,320","311,750","315,320","313,720"
314,2022/09/13,1401/06/22,"309,980","309,750","316,520","316,480"
315,2022/09/12,1401/06/21,"309,160","307,150","310,020","309,760"
316,2022/09/11,1401/06/20,"303,820","303,750","309,020","309,020"
317,2022/09/10,1401/06/19,"304,520","303,650","307,520","303,750"
318,2022/09/08,1401/06/17,"301,510","300,950","303,020","302,410"
319,2022/09/07,1401/06/16,"301,210","299,750","302,520","302,170"
320,2022/09/06,1401/06/15,"301,990","301,150","303,020","302,480"
321,2022/09/05,1401/06/14,"302,420","297,450","302,420","302,170"
322,2022/09/04,1401/06/13,"300,990","300,950","303,220","302,560"
323,2022/09/03,1401/06/12,"298,820","298,350","300,320","299,450"
324,2022/09/01,1401/06/10,"298,260","297,950","298,520","298,470"
325,2022/08/31,1401/06/09,"300,860","298,950","301,220","299,050"
326,2022/08/30,1401/06/08,"295,300","294,950","297,720","297,610"
327,2022/05/11,1401/02/21,"255,800","255,800","255,800","255,800"
328,2022/05/10,1401/02/20,"282,210","282,210","288,300","287,410"
329,2022/05/09,1401/02/19,"282,930","281,800","283,100","282,290"
330,2022/09/01,1401/06/10,"298,260","297,950","298,520","298,470"
331,2022/08/31,1401/06/09,"300,860","298,950","301,220","299,050"
332,2022/08/30,1401/06/08,"295,300","294,950","297,720","297,610"
333,2022/05/11,1401/02/21,"255,800","255,800","255,800","255,800"
334,2022/05/10,1401/02/20,"282,210","282,210","288,300","287,410"
335,2022/05/09,1401/02/19,"282,930","281,800","283,100","282,290"
336,2022/05/08,1401/02/18,"281,490","280,700","282,100","281,030"
337,2022/05/07,1401/02/17,"279,550","279,410","283,200","281,760"
338,2022/05/05,1401/02/15,"279,800","279,300","280,630","280,560"
339,2022/05/02,1401/02/12,"279,530","279,050","280,300","280,210"
340,2022/05/01,1401/02/11,"279,460","279,400","279,900","279,560"
341,2022/04/30,1401/02/10,"279,720","279,100","280,490","279,220"
342,2022/04/28,1401/02/08,"279,240","278,500","280,700","279,500"
343,2022/04/27,1401/02/07,"279,390","279,200","281,100","280,380"
344,2022/04/26,1401/02/06,"278,460","278,300","280,600","279,350"
345,2022/04/25,1401/02/05,"277,790","277,000","278,800","278,410"
346,2022/04/24,1401/02/04,"278,570","277,900","279,300","278,060"
347,2022/04/21,1401/02/01,"277,440","277,400","279,200","278,640"
348,2022/04/20,1401/01/31,"275,610","275,500","278,200","277,350"
349,2022/04/19,1401/01/30,"276,520","275,510","278,090","275,720"
350,2022/04/18,1401/01/29,"278,370","276,000","279,900","276,510"
351,2022/04/17,1401/01/28,"278,710","278,600","280,800","278,970"
352,2022/04/16,1401/01/27,"275,340","275,200","279,600","278,910"
353,2022/04/14,1401/01/25,"277,320","277,200","277,400","277,910"
354,2022/04/13,1401/01/24,"278,680","275,600","278,700","278,050"
355,2022/04/12,1401/01/23,"279,620","278,200","281,500","278,900"
356,2022/04/11,1401/01/22,"278,880","252,660","281,300","279,450"
357,2022/04/10,1401/01/21,"276,310","275,700","279,300","279,090"
358,2022/04/09,1401/01/20,"274,970","274,900","277,300","276,930"
359,2022/04/07,1401/01/18,"272,680","272,500","276,000","274,830"
360,2022/05/11,1401/02/21,"255,800","255,800","255,800","255,800"
361,2022/05/10,1401/02/20,"282,210","282,210","288,300","287,410"
362,2022/05/09,1401/02/19,"282,930","281,800","283,100","282,290"
363,2022/05/08,1401/02/18,"281,490","280,700","282,100","281,030"
364,2022/05/07,1401/02/17,"279,550","279,410","283,200","281,760"
365,2022/05/05,1401/02/15,"279,800","279,300","280,630","280,560"
366,2022/05/02,1401/02/12,"279,530","279,050","280,300","280,210"
367,2022/05/01,1401/02/11,"279,460","279,400","279,900","279,560"
368,2022/04/30,1401/02/10,"279,720","279,100","280,490","279,220"
369,2022/04/28,1401/02/08,"279,240","278,500","280,700","279,500"
370,2022/04/27,1401/02/07,"279,390","279,200","281,100","280,380"
371,2022/04/26,1401/02/06,"278,460","278,300","280,600","279,350"
372,2022/04/25,1401/02/05,"277,790","277,000","278,800","278,410"
373,2022/04/24,1401/02/04,"278,570","277,900","279,300","278,060"
374,2022/04/21,1401/02/01,"277,440","277,400","279,200","278,640"
375,2022/04/20,1401/01/31,"275,610","275,500","278,200","277,350"
376,2022/04/19,1401/01/30,"276,520","275,510","278,090","275,720"
377,2022/04/18,1401/01/29,"278,370","276,000","279,900","276,510"
378,2022/04/17,1401/01/28,"278,710","278,600","280,800","278,970"
379,2022/04/16,1401/01/27,"275,340","275,200","279,600","278,910"
380,2022/04/14,1401/01/25,"277,320","277,200","277,400","277,910"
381,2022/04/13,1401/01/24,"278,680","275,600","278,700","278,050"
382,2022/04/12,1401/01/23,"279,620","278,200","281,500","278,900"
383,2022/04/11,1401/01/22,"278,880","252,660","281,300","279,450"
384,2022/04/10,1401/01/21,"276,310","275,700","279,300","279,090"
385,2022/04/09,1401/01/20,"274,970","274,900","277,300","276,930"
386,2022/04/07,1401/01/18,"272,680","272,500","276,000","274,830"
387,2022/04/06,1401/01/17,"274,960","271,880","275,100","272,670"
388,2022/04/05,1401/01/16,"270,140","269,200","275,400","275,270"
389,2022/04/04,1401/01/15,"269,140","269,000","272,000","269,880"
390,2022/05/11,1401/02/21,"255,800","255,800","255,800","255,800"
391,2022/05/10,1401/02/20,"282,210","282,210","288,300","287,410"
392,2022/05/09,1401/02/19,"282,930","281,800","283,100","282,290"
393,2022/05/08,1401/02/18,"281,490","280,700","282,100","281,030"
394,2022/05/07,1401/02/17,"279,550","279,410","283,200","281,760"
395,2022/05/05,1401/02/15,"279,800","279,300","280,630","280,560"
396,2022/05/02,1401/02/12,"279,530","279,050","280,300","280,210"
397,2022/05/01,1401/02/11,"279,460","279,400","279,900","279,560"
398,2022/04/30,1401/02/10,"279,720","279,100","280,490","279,220"
399,2022/04/28,1401/02/08,"279,240","278,500","280,700","279,500"
400,2022/04/27,1401/02/07,"279,390","279,200","281,100","280,380"
401,2022/04/26,1401/02/06,"278,460","278,300","280,600","279,350"
402,2022/04/25,1401/02/05,"277,790","277,000","278,800","278,410"
403,2022/04/24,1401/02/04,"278,570","277,900","279,300","278,060"
404,2022/04/21,1401/02/01,"277,440","277,400","279,200","278,640"
405,2022/04/20,1401/01/31,"275,610","275,500","278,200","277,350"
406,2022/04/19,1401/01/30,"276,520","275,510","278,090","275,720"
407,2022/04/18,1401/01/29,"278,370","276,000","279,900","276,510"
408,2022/04/17,1401/01/28,"278,710","278,600","280,800","278,970"
409,2022/04/16,1401/01/27,"275,340","275,200","279,600","278,910"
