,width,lenght,weight
242,170,-49,-36
243,-35,-23,80
244,-44,122,20
245,-165,-176,-90
246,-130,53,149
247,-114,-122,93
248,27,178,29
249,-22,86,-90
250,-86,48,-76
251,98,39,-53
252,64,58,-4
253,-125,-147,152
254,-25,-96,3
255,69,-171,83
256,-174,20,53
257,-39,38,39
258,-86,83,115
259,61,-81,-91
260,163,-28,24
261,13,97,-17
262,-87,-108,-152
263,-33,-66,-7
264,-36,61,152
265,-153,45,17
266,17,135,-81
267,-20,85,8
268,-57,-125,33
269,16,92,29
270,-42,-79,123
271,-35,-123,22
272,-8,183,142
273,27,-48,-27
274,-95,151,120
275,-13,-36,4
276,-29,49,-61
277,43,117,-306
278,49,88,-216
279,162,-44,29
280,-41,123,-24
281,-29,80,-123
282,-215,-163,188
283,64,-112,242
284,-65,90,147
285,55,37,209
286,-42,-72,168
287,-52,-59,103
288,-89,-14,-82
289,70,-62,-64
290,-52,-57,83
291,7,180,26
292,32,89,-29
293,-98,3,127
294,66,94,-46
295,-83,2,168
296,-5,221,68
297,157,174,104
298,188,-35,100
299,-29,47,-53
300,144,133,-94
301,-62,-128,-4
302,45,42,152
303,-37,261,89
304,-44,90,2
305,45,-106,-135
306,209,-14,-31
307,129,19,78
308,90,29,64
309,44,19,-1
310,33,-135,228
311,4,-42,-64
312,-35,-64,-269
313,46,14,-83
314,25,67,-106
315,24,70,-18
316,60,-26,-163
317,-240,-107,-68
318,-53,-309,87
319,51,114,19
320,-63,8,138
321,87,45,-27
322,18,20,-141
323,-24,-198,104
324,22,-158,-68
325,2,104,16
326,-252,-114,-85
327,71,79,13
328,-86,45,-217
329,-60,-23,36
330,-2,15,3
331,-45,147,-117
332,92,-119,-110
333,69,-79,-4
334,69,53,179
335,-79,156,-19
336,-48,-64,2
337,94,205,-40
338,-111,125,1
339,102,178,139
340,123,144,-102
341,-14,27,173
342,243,41,54
343,48,-13,34
344,-103,108,-124
345,45,-14,-31
346,92,63,35
347,-28,20,-7
348,12,-121,-33
349,-38,-21,61
350,-10,-67,231
351,197,-44,44
352,-70,8,-30
353,13,-112,-37
354,-25,66,66
355,-86,-226,162
356,-70,-6,-51
357,158,-34,165
358,150,-68,-43
359,106,-26,19
360,216,3,229
361,74,-32,36
362,-117,-68,150
363,-45,-112,-53
364,24,-83,36
365,83,46,-129
366,50,-179,70
367,-101,-34,-80
368,4,-100,58
369,-63,-38,29
370,-160,-216,-33
371,108,127,1
372,-2,-133,-75
373,-25,88,-60
374,146,-191,12
375,67,-28,148
376,46,-7,-102
377,85,169,180
378,126,24,-158
379,26,45,174
380,-52,82,65
381,-127,32,29
382,26,74,-69
383,95,120,-137
384,122,66,-78
385,36,56,177
386,-29,-81,-51
387,29,-157,-73
388,-42,-134,-35
389,-17,29,44
390,-74,-8,217
391,68,6,-163
392,-123,58,-66
393,215,5,9
394,-69,11,-49
395,1,-80,69
396,77,66,156
397,22,-18,-89
398,-163,89,101
399,113,-48,47
